,Property,Thing,Action,max_abs_coefficient
away_x_cognition,0.0,0.0,0.0087826590438497,0.0087826590438497
biomotion_x_near,-0.0023297240711429,0.0079021514631715,0.0,0.0079021514631715
shape_x_touch,-0.0069580791361284,0.0,0.0,0.0069580791361284
practice_x_path,0.0,-0.0068922001840874,0.0,0.0068922001840874
motion_x_practice,-0.0065928310656997,0.0,0.0,0.0065928310656997
body_x_toward,0.0,-0.0061168186001964,0.0,0.0061168186001964
upperlimb_x_practice,0.0,0.0052344446401163,0.0,0.0052344446401163
body_x_near,0.0,0.0051373704973,0.0,0.0051373704973
short_x_pleasant,0.0,0.0,-0.0047049954697822,0.0047049954697822
self,0.0,-0.0046797509633719,0.0,0.0046797509633719
path_x_near,0.0,-0.0046251435250941,0.0,0.0046251435250941
self_x_drive,0.0,0.0042787526208097,-0.000965327079509,0.0042787526208097
self_x_benefit,0.0019897562393383,0.0,-0.0029593865938202,0.0029593865938202
biomotion_x_toward,0.0,-0.0022619740920721,0.0,0.0022619740920721
practice_x_away,0.0,0.0,0.0021082594106375,0.0021082594106375
biomotion_x_slow,0.0,0.0013099357253011,0.0,0.0013099357253011
near_x_self,-0.0012123211756105,0.0,0.0,0.0012123211756105
slow_x_human,-0.0008514138078197,0.0,0.0,0.0008514138078197
upperlimb_x_path,0.0,-0.000753802716697,0.0,0.000753802716697
