feature_1,feature_2,correlation,abs_correlation
landmark,scene,0.712254119480764,0.712254119480764
biomotion,human,0.7082871019549885,0.7082871019549885
angry,fearful,0.7032660456737572,0.7032660456737572
path,away,0.6960181634733418,0.6960181634733418
vision,pattern,0.6957410440450139,0.6957410440450139
motion,path,0.6904463980083827,0.6904463980083827
social,communication,0.6897060849833296,0.6897060849833296
vision,cognition,-0.6849385374304645,0.6849385374304645
shape,touch,0.6821522050545054,0.6821522050545054
pain,sad,0.6820931072473677,0.6820931072473677
sound,music,0.67782771819278,0.67782771819278
vision,weight,0.6746932319555772,0.6746932319555772
consequential,angry,0.6733199856525678,0.6733199856525678
pleasant,unpleasant,-0.6722633070786938,0.6722633070786938
harm,angry,0.6715237596981335,0.6715237596981335
low,music,0.665756407744271,0.665756407744271
disgusted,fearful,0.6656146051562033,0.6656146051562033
small,weight,0.6636340968854333,0.6636340968854333
touch,practice,0.6633247088636457,0.6633247088636457
fast,away,0.6615523188833368,0.6615523188833368
high,music,0.6613198474268525,0.6613198474268525
loud,attention,0.6602274900932485,0.6602274900932485
cognition,drive,0.659469150666536,0.659469150666536
color,texture,0.6588091611036306,0.6588091611036306
consequential,unpleasant,0.6572059385948865,0.6572059385948865
touch,near,0.655991728657807,0.655991728657807
small,touch,0.6555895880845946,0.6555895880845946
small,texture,0.6521019841125961,0.6521019841125961
touch,weight,0.6520400798686316,0.6520400798686316
shape,caused,-0.6478373511776401,0.6478373511776401
large,complexity,0.6471110132431204,0.6471110132431204
drive,arousal,0.6457205189802808,0.6457205189802808
texture,caused,-0.6438025022384152,0.6438025022384152
bright,color,0.6425597035727916,0.6425597035727916
consequential,arousal,0.6396703318202931,0.6396703318202931
vision,caused,-0.6385315594061954,0.6385315594061954
audition,attention,0.6373960091878855,0.6373960091878855
consequential,fearful,0.6317799421168335,0.6317799421168335
vision,texture,0.630195658507365,0.630195658507365
harm,disgusted,0.6289915611884851,0.6289915611884851
consequential,harm,0.6272997292678064,0.6272997292678064
fearful,surprised,0.625063566174315,0.625063566174315
audition,music,0.6236347542758559,0.6236347542758559
color,shape,0.6236246430470272,0.6236246430470272
low,high,0.6235538496175586,0.6235538496175586
consequential,drive,0.6230074471351896,0.6230074471351896
biomotion,speech,0.6228570685302066,0.6228570685302066
vision,complexity,0.6223649269319538,0.6223649269319538
consequential,surprised,0.6210338248922128,0.6210338248922128
shape,cognition,-0.6184093847181134,0.6184093847181134
social,drive,0.618140493731765,0.618140493731765
weight,caused,-0.6169379445044108,0.6169379445044108
pain,disgusted,0.6155669282229299,0.6155669282229299
pattern,small,0.6152800373007256,0.6152800373007256
motion,biomotion,0.6106734338526691,0.6106734338526691
consequential,sad,0.6097030237252877,0.6097030237252877
texture,consequential,-0.607639735255644,0.607639735255644
pattern,caused,-0.6068613000646126,0.6068613000646126
large,landmark,0.6050428308414396,0.6050428308414396
communication,cognition,0.6047424060014026,0.6047424060014026
loud,music,0.6009123694556225,0.6009123694556225
motion,complexity,0.5989725237719316,0.5989725237719316
pattern,consequential,-0.5979039480070176,0.5979039480070176
pain,angry,0.5937152532957246,0.5937152532957246
pattern,social,-0.5930476658056625,0.5930476658056625
vision,consequential,-0.5921392057404261,0.5921392057404261
social,arousal,0.5913049878624748,0.5913049878624748
near,needs,0.5911089103286487,0.5911089103286487
caused,surprised,0.5910336841134411,0.5910336841134411
pattern,cognition,-0.5908139659445909,0.5908139659445909
vision,color,0.5897396658084701,0.5897396658084701
duration,short,0.588410860832092,0.588410860832092
small,shape,0.5878899909014755,0.5878899909014755
benefit,needs,0.586983472595097,0.586983472595097
shape,consequential,-0.5862056663675721,0.5862056663675721
harm,sad,0.5857434870275138,0.5857434870275138
color,weight,0.5829381884826333,0.5829381884826333
motion,slow,0.5828662572737229,0.5828662572737229
short,caused,0.5808695772954561,0.5808695772954561
caused,arousal,0.5807741008471152,0.5807741008471152
weight,cognition,-0.5775396309163602,0.5775396309163602
pattern,drive,-0.5773470524065808,0.5773470524065808
color,smell,0.5760897846783853,0.5760897846783853
unpleasant,happy,-0.5744092928041075,0.5744092928041075
consequential,disgusted,0.5721825067807597,0.5721825067807597
large,scene,0.5700761298565198,0.5700761298565198
social,cognition,0.5694493287045173,0.5694493287045173
motion,away,0.5690008355612949,0.5690008355612949
self,needs,0.5648307136287007,0.5648307136287007
color,consequential,-0.5644785027308942,0.5644785027308942
pain,pleasant,-0.5582554169192209,0.5582554169192209
touch,upperlimb,0.5578263756083923,0.5578263756083923
pleasant,angry,-0.5568020173004822,0.5568020173004822
texture,practice,0.5551107269688195,0.5551107269688195
pleasant,fearful,-0.5539297481493142,0.5539297481493142
unpleasant,surprised,0.5536980823170402,0.5536980823170402
touch,caused,-0.5535822055337202,0.5535822055337202
angry,surprised,0.5494411358165748,0.5494411358165748
consequential,social,0.5476494819057737,0.5476494819057737
caused,drive,0.5475132944651648,0.5475132944651648
shape,drive,-0.5458186254690781,0.5458186254690781
harm,pleasant,-0.5451444560600855,0.5451444560600855
weight,consequential,-0.5441830093857137,0.5441830093857137
shape,social,-0.5441251072238108,0.5441251072238108
color,drive,-0.5434702311864951,0.5434702311864951
color,taste,0.5413320001979561,0.5413320001979561
short,surprised,0.5413164410689629,0.5413164410689629
caused,sad,0.5400476333221128,0.5400476333221128
color,social,-0.5399167196206939,0.5399167196206939
biomotion,slow,0.5396722101774513,0.5396722101774513
fast,loud,0.5391489720558704,0.5391489720558704
pleasant,disgusted,-0.538859889744531,0.538859889744531
consequential,cognition,0.5377361700820585,0.5377361700820585
vision,touch,0.5371198907929026,0.5371198907929026
bright,pattern,0.5359426397078005,0.5359426397078005
color,temperature,0.5357649057872222,0.5357649057872222
texture,cognition,-0.5342464312802081,0.5342464312802081
caused,social,0.5339927390552018,0.5339927390552018
lowerlimb,path,0.5329632834731391,0.5329632834731391
texture,drive,-0.5327251330366247,0.5327251330366247
sound,attention,0.5321346627931052,0.5321346627931052
motion,loud,0.5308529374690545,0.5308529374690545
