model,class_display,feature,coefficient,abs_coefficient
Elastic Net,Thing,attention,-0.5655482425464081,0.5655482425464081
Elastic Net,Thing,audition,0.5516383577013559,0.5516383577013559
Elastic Net,Thing,disgusted,0.547042155577529,0.547042155577529
Elastic Net,Thing,number,0.5382350338470887,0.5382350338470887
Elastic Net,Thing,high,0.5272843975287087,0.5272843975287087
Elastic Net,Thing,toward,-0.4871022897982111,0.4871022897982111
Elastic Net,Thing,lowerlimb,0.4851245173048186,0.4851245173048186
Elastic Net,Thing,scene,0.4815579373933162,0.4815579373933162
Elastic Net,Thing,slow,-0.4754526045623238,0.4754526045623238
Elastic Net,Thing,social,0.4582590614655697,0.4582590614655697
Elastic Net,Thing,smell,0.4563874431754249,0.4563874431754249
Elastic Net,Thing,happy,-0.4373038134497052,0.4373038134497052
Elastic Net,Thing,pattern,-0.3801451775786707,0.3801451775786707
Elastic Net,Thing,large,0.3369419519604961,0.3369419519604961
Elastic Net,Thing,sad,0.2938105005215156,0.2938105005215156
Elastic Net,Thing,loud,0.2613024356447684,0.2613024356447684
Elastic Net,Thing,caused,-0.2536722799455185,0.2536722799455185
Elastic Net,Thing,touch,-0.2343255240592804,0.2343255240592804
Elastic Net,Thing,weight,0.2282612315576614,0.2282612315576614
Elastic Net,Thing,low,-0.2145486082716129,0.2145486082716129
Elastic Net,Thing,fearful,-0.2008328709703699,0.2008328709703699
Elastic Net,Thing,temperature,0.1917611783755015,0.1917611783755015
Elastic Net,Thing,bright,0.1645574685937643,0.1645574685937643
Elastic Net,Thing,vision,-0.1566545112451028,0.1566545112451028
Elastic Net,Thing,consequential,-0.1426009861542499,0.1426009861542499
Elastic Net,Thing,speech,-0.1397167103861654,0.1397167103861654
Elastic Net,Thing,needs,0.1283509857045825,0.1283509857045825
Elastic Net,Thing,sound,0.1199859310774653,0.1199859310774653
Elastic Net,Thing,dark,0.1194068150630572,0.1194068150630572
Elastic Net,Thing,small,0.1046747092275125,0.1046747092275125
Elastic Net,Thing,fast,0.0933034462138692,0.0933034462138692
Elastic Net,Thing,pleasant,-0.0804694584348954,0.0804694584348954
Elastic Net,Thing,away,-0.0612063334591589,0.0612063334591589
Elastic Net,Thing,cognition,-0.0377959161594845,0.0377959161594845
